name,cr,type,tag,size,ac,hp,align,legendary,source,str,dex,con,int,wis,cha,can_fly,can_swim,shapechanger
aarakocra,0.25,humanoid,,Medium,12,13,neutral good,0,Monster Manual,10.0,14.0,10.0,11.0,12.0,11.0,1,0,0
abjurer,9.0,humanoid,any race,Medium,12,84,any alignment,0,Volo's Guide to Monsters,9.0,14.0,14.0,12.0,18.0,11.0,0,0,0
aboleth,10.0,aberration,,Large,17,135,lawful evil,1,Monster Manual,21.0,9.0,15.0,18.0,15.0,18.0,0,1,0
abominable-yeti,9.0,monstrosity,yeti,Huge,15,137,chaotic evil,0,Monster Manual,24.0,10.0,22.0,9.0,13.0,9.0,0,0,0
acolyte,0.25,humanoid,any race,Medium,10,9,any alignment,0,Monster Manual,10.0,10.0,10.0,10.0,14.0,11.0,0,0,0
adult-black-dragon,14.0,dragon,black dragon,Huge,19,195,chaotic evil,1,Monster Manual,23.0,14.0,21.0,14.0,13.0,17.0,1,1,0
adult-blue-dracolich,17.0,undead,,Huge,19,225,lawful evil,1,Monster Manual,25.0,10.0,23.0,16.0,15.0,19.0,1,0,0
adult-blue-dragon,16.0,dragon,blue dragon,Huge,19,225,lawful evil,1,Monster Manual,25.0,10.0,23.0,16.0,15.0,19.0,1,0,0
adult-brass-dragon,13.0,dragon,brass dragon,Huge,18,172,chaotic good,1,Monster Manual,23.0,10.0,21.0,14.0,13.0,17.0,1,0,0
adult-bronze-dragon,15.0,dragon,bronze dragon,Huge,19,212,lawful good,1,Monster Manual,25.0,10.0,23.0,16.0,15.0,19.0,1,1,0
adult-copper-dragon,14.0,dragon,copper dragon,Huge,18,184,chaotic good,1,Monster Manual,23.0,12.0,21.0,18.0,15.0,17.0,1,0,0
adult-gold-dragon,17.0,dragon,gold dragon,Huge,19,256,lawful good,1,Monster Manual,27.0,14.0,25.0,16.0,15.0,24.0,1,1,0
adult-green-dragon,15.0,dragon,green dragon,Huge,19,207,lawful evil,1,Monster Manual,23.0,12.0,21.0,18.0,15.0,17.0,1,1,0
adult-kruthik,2.0,monstrosity,,Medium,18,39,unaligned,0,Mordenkainen's Tome of Foes,15.0,16.0,15.0,7.0,12.0,8.0,0,0,0
adult-oblex,5.0,ooze,,Medium,14,75,lawful evil,0,Mordenkainen's Tome of Foes,8.0,19.0,16.0,19.0,12.0,15.0,0,0,0
adult-red-dragon,17.0,dragon,red dragon,Huge,19,256,chaotic evil,1,Monster Manual,27.0,10.0,25.0,16.0,13.0,21.0,1,0,0
adult-silver-dragon,16.0,dragon,silver dragon,Huge,19,243,lawful good,1,Monster Manual,27.0,10.0,25.0,16.0,13.0,21.0,1,0,0
adult-white-dragon,13.0,dragon,white dragon,Huge,18,200,chaotic evil,1,Monster Manual,22.0,10.0,22.0,8.0,12.0,12.0,1,1,0
air-elemental,5.0,elemental,,Large,15,90,neutral,0,Monster Manual,14.0,20.0,14.0,6.0,10.0,6.0,1,0,0
air-elemental-myrmidon,7.0,elemental,,Medium,18,117,neutral,0,Mordenkainen's Tome of Foes,18.0,14.0,14.0,9.0,10.0,10.0,1,0,0
aldani,,monstrosity,,Medium,0,0,lawful neutral,0,Other,13.0,8.0,12.0,10.0,14.0,10.0,0,1,0
alhoon,10.0,undead,,Medium,15,120,any evil alignment,0,Volo's Guide to Monsters,11.0,12.0,16.0,19.0,17.0,17.0,0,0,0
alkilith,11.0,fiend,demon,Medium,17,157,chaotic evil,0,Mordenkainen's Tome of Foes,12.0,19.0,22.0,6.0,11.0,7.0,0,0,0
allip,5.0,undead,,Medium,13,40,neutral evil,0,Mordenkainen's Tome of Foes,6.0,17.0,10.0,17.0,15.0,16.0,1,0,0
allosaurus,2.0,beast,,Large,13,51,unaligned,0,Monster Manual,19.0,13.0,17.0,2.0,12.0,5.0,0,0,0
ambush-drake,0.5,dragon,,Medium,13,22,unaligned,0,Other,13.0,15.0,14.0,4.0,11.0,6.0,0,0,0
amnizu,18.0,fiend,devil,Medium,21,202,lawful evil,0,Mordenkainen's Tome of Foes,11.0,13.0,16.0,20.0,20.0,18.0,1,0,0
